alpha,b,table_type,cost,kernel_time,l1tex__t_sectors_pipe_lsu_mem_global_op_ld.sum
0.65,9,H,15.919871,,
0.4,4,N,5.496816,,
0.4,4,H,5.496816,,
0.8,8,N,24.576466,,
0.8,8,H,24.576466,,
0.35,3,N,4.325515,,
0.35,3,H,4.325515,,
0.25,4,N,4.0394,,
0.25,4,H,4.0394,,
0.55,4,N,7.593246,,
0.55,4,H,7.593246,,
0.7,5,N,12.898581,,
0.7,5,H,12.898581,,
0.65,3,N,8.556355,,
0.65,3,H,8.556355,,
0.5,4,N,6.779365,,
0.5,4,H,6.779365,,
0.7,1,N,6.666511,,
0.7,1,H,6.666511,,
0.65,6,N,12.307946,,
0.65,6,H,12.307946,,
0.65,2,N,7.2066,,
0.65,2,H,7.2066,,
0.8,4,N,17.166871,,
0.8,4,H,17.166871,,
0.6,6,N,10.804703,,
0.6,6,H,10.804703,,
0.6,3,N,7.451666,,
0.6,3,H,7.451666,,
0.7,8,N,16.950109,,
0.7,8,H,16.950109,,
0.7,6,N,14.272569,,
0.7,6,H,14.272569,,
0.4,5,N,6.234977,,
0.4,5,H,6.234977,,
0.75,5,N,15.407606,,
0.75,5,H,15.407606,,
0.7,3,N,10.013886,,
0.7,3,H,10.013886,,
0.65,1,N,5.714203,,
0.65,1,H,5.714203,,
0.55,2,N,5.544863,,
0.55,2,H,5.544863,,
0.6,7,N,11.905561,,
0.6,7,H,11.905561,,
0.6,9,N,14.108911,,
0.6,9,H,14.108911,,
0.8,5,N,19.139601,,
0.8,5,H,19.139601,,
0.7,7,N,15.620422,,
0.7,7,H,15.620422,,
0.8,2,N,12.732175,,
0.8,2,H,12.732175,,
0.8,6,N,21.016959,,
0.8,6,H,21.016959,,
0.75,9,N,21.494698,,
0.75,9,H,21.494698,,
0.7,4,N,11.48607,,
0.7,4,H,11.48607,,
0.85,5,N,25.325203,,
0.85,5,H,25.325203,,
0.85,8,N,32.12908,,
0.85,8,H,32.12908,,
0.75,2,N,10.161196,,
0.75,2,H,10.161196,,
0.75,7,N,18.518625,,
0.75,7,H,18.518625,,
0.65,7,N,13.518394,,
0.65,7,H,13.518394,,
0.75,6,N,16.985204,,
0.75,6,H,16.985204,,
0.9,5,N,37.653592,,
0.9,5,H,37.653592,,
0.85,4,N,22.802604,,
0.85,4,H,22.802604,,
0.75,4,N,13.768411,,
0.75,4,H,13.768411,,
0.75,8,N,20.019192,,
0.75,8,H,20.019192,,
0.85,9,N,34.228997,,
0.85,9,H,34.228997,,
0.7,9,N,18.266997,,
0.7,9,H,18.266997,,
0.75,1,N,7.999673,,
0.75,1,H,7.999673,,
0.8,9,N,26.286128,,
0.8,9,H,26.286128,,
0.7,2,N,8.441076,,
0.7,2,H,8.441076,,
0.9,8,N,47.191882,,
0.9,8,H,47.191882,,
0.9,7,N,44.180173,,
0.9,7,H,44.180173,,
0.85,6,N,27.697851,,
0.85,6,H,27.697851,,
0.9,2,N,25.534748,,
0.9,2,H,25.534748,,
0.85,2,N,17.005702,,
0.85,2,H,17.005702,,
0.95,7,N,86.763754,,
0.95,7,H,86.763754,,
0.75,3,N,12.038315,,
0.75,3,H,12.038315,,
0.95,6,N,80.869565,,
0.95,6,H,80.869565,,
0.8,3,N,15.057362,,
0.8,3,H,15.057362,,
0.8,7,N,22.823821,,
0.8,7,H,22.823821,,
0.9,9,N,50.077729,,
0.9,9,H,50.077729,,
0.95,9,N,97.575163,,
0.95,9,H,97.575163,,
0.9,6,N,41.014334,,
0.9,6,H,41.014334,,
0.85,7,N,29.957696,,
0.85,7,H,29.957696,,
0.9,3,N,30.061321,,
0.9,3,H,30.061321,,
0.95,8,N,92.311344,,
0.95,8,H,92.311344,,
0.85,3,N,20.068382,,
0.85,3,H,20.068382,,
0.85,1,N,13.331021,,
0.85,1,H,13.331021,,
0.95,5,N,74.539901,,
0.95,5,H,74.539901,,
0.8,1,N,9.999227,,
0.8,1,H,9.999227,,
0.9,4,N,34.03658,,
0.9,4,H,34.03658,,
0.95,3,N,59.944265,,
0.95,3,H,59.944265,,
0.95,4,N,67.639703,,
0.95,4,H,67.639703,,
0.9,1,N,19.988919,,
0.9,1,H,19.988919,,
0.95,2,N,51.027565,,
0.95,2,H,51.027565,,
1.0,8,N,1000000000.0,,
1.0,8,H,1000000000.0,,
1.0,7,N,1000000000.0,,
1.0,7,H,1000000000.0,,
0.95,1,N,39.848503,,
0.95,1,H,39.848503,,
1.0,9,N,1000000000.0,,
1.0,9,H,1000000000.0,,
1.0,6,N,1000000000.0,,
1.0,6,H,1000000000.0,,
1.0,5,N,1000000000.0,,
1.0,5,H,1000000000.0,,
1.0,4,N,1000000000.0,,
1.0,4,H,1000000000.0,,
1.0,3,N,1000000000.0,,
1.0,3,H,1000000000.0,,
1.0,2,N,1000000000.0,,
1.0,2,H,1000000000.0,,
1.0,1,N,1000000000.0,,
1.0,1,H,1000000000.0,,
