alpha,b,table_type,cost,kernel_time,l1tex__t_sectors_pipe_lsu_mem_global_op_ld.sum
0.1,2,N,7.221693,,
0.1,2,H,7.221693,,
0.1,5,N,4.500257,,
0.1,5,H,4.500257,,
0.1,1,N,12.222214,,
0.1,1,H,12.222214,,
0.15,8,N,4.400088,,
0.15,8,H,4.400088,,
0.2,3,N,4.843495,,
0.2,3,H,4.843495,,
0.1,3,N,6.505431,,
0.1,3,H,6.505431,,
0.15,2,N,6.559224,,
0.15,2,H,6.559224,,
0.1,4,N,5.60124,,
0.1,4,H,5.60124,,
0.1,6,N,4.800069,,
0.1,6,H,4.800069,,
0.25,1,N,6.66666,,
0.25,1,H,6.66666,,
0.15,1,N,9.411757,,
0.15,1,H,9.411757,,
0.1,9,N,5.700001,,
0.1,9,H,5.700001,,
0.15,3,N,5.819982,,
0.15,3,H,5.819982,,
0.15,9,N,4.700033,,
0.15,9,H,4.700033,,
0.1,8,N,5.400004,,
0.1,8,H,5.400004,,
0.2,4,N,5.422161,,
0.2,4,H,5.422161,,
0.1,7,N,5.100016,,
0.1,7,H,5.100016,,
0.3,5,N,5.05784,,
0.3,5,H,5.05784,,
0.15,7,N,4.100234,,
0.15,7,H,4.100234,,
0.5,3,N,5.871736,,
0.5,3,H,5.871736,,
0.15,6,N,5.700922,,
0.15,6,H,5.700922,,
0.35,8,N,7.646087,,
0.35,8,H,7.646087,,
0.2,2,N,5.71026,,
0.2,2,H,5.71026,,
0.5,6,N,8.604331,,
0.5,6,H,8.604331,,
0.3,8,N,6.816025,,
0.3,8,H,6.816025,,
0.2,8,N,5.200825,,
0.2,8,H,5.200825,,
0.2,6,N,4.403591,,
0.2,6,H,4.403591,,
0.25,5,N,4.523193,,
0.25,5,H,4.523193,,
0.55,5,N,8.598786,,
0.55,5,H,8.598786,,
0.25,7,N,5.507691,,
0.25,7,H,5.507691,,
0.25,2,N,4.660231,,
0.25,2,H,4.660231,,
0.25,9,N,6.502449,,
0.25,9,H,6.502449,,
0.3,1,N,5.714278,,
0.3,1,H,5.714278,,
0.3,7,N,6.224809,,
0.3,7,H,6.224809,,
0.2,1,N,7.499991,,
0.2,1,H,7.499991,,
0.35,6,N,6.289521,,
0.35,6,H,6.289521,,
0.15,4,N,4.806073,,
0.15,4,H,4.806073,,
