alpha,b,table_type,cost,kernel_time,l1tex__t_sectors_pipe_lsu_mem_global_op_ld.sum
0.3,12,N,9.946831,0.695475,10932444572
0.35,1,H,7.571514,0.661866,3100216377
0.35,1,N,7.571514,0.702511,9924042054
0.35,2,H,6.963384,0.651437,2884624316
0.35,2,N,6.963384,0.672421,9510356573
0.35,3,H,5.743212,0.659866,2844154964
0.35,3,N,5.743212,0.644747,9555900763
0.35,4,H,6.385487,0.657463,2856971290
0.35,4,N,6.385487,0.658196,9688374149
0.35,5,H,7.040838,0.640739,2883358824
0.35,5,N,7.040838,0.670278,9889775036
0.35,6,H,7.707114,0.654187,2929078637
0.35,6,N,7.707114,0.650977,10123052822
0.35,7,H,8.382061,0.648452,2975001233
0.35,7,N,8.382061,0.654401,10309049288
0.35,8,H,9.063685,0.651469,3024535876
0.35,8,N,9.063685,0.680923,10527353541
0.35,9,H,9.750346,0.650173,3076873622
0.35,9,N,9.750346,0.703769,10737942768
0.35,10,H,10.440746,0.653615,3121250631
0.35,10,N,10.440746,0.697806,10908072798
0.35,11,H,11.133888,0.666745,3175011575
0.35,11,N,11.133888,0.73102,11048055027
0.35,12,H,11.829021,0.671378,3229612836
0.35,12,N,11.829021,0.693535,11255809531
0.4,1,H,7.174937,0.679289,3146907104
0.4,1,N,7.174937,0.708315,10300428220
0.4,2,H,8.254857,0.64133,2924128103
0.4,2,N,8.254857,0.661208,9837063197
0.4,3,H,6.945301,0.65026,2886105955
0.4,3,N,6.945301,0.65166,9815771082
0.4,4,H,7.671807,0.641583,2899942630
0.4,4,N,7.671807,0.666835,9965534916
0.4,5,H,8.409977,0.645611,2931717743
0.4,5,N,8.409977,0.662696,10155157104
0.4,6,H,9.159328,0.657529,2981111986
0.4,6,N,9.159328,0.668297,10349192769
0.4,7,H,9.918533,0.649566,3033194418
0.4,7,N,9.918533,0.659604,10575415888
0.4,8,H,10.686075,0.652277,3088606752
0.4,8,N,10.686075,0.692127,10795256813
0.4,9,H,11.460496,0.662983,3141075477
0.4,9,N,11.460496,0.737453,10959410526
0.4,10,H,12.240497,0.657521,3198636825
0.4,10,N,12.240497,0.734074,11154270767
0.4,11,H,13.024964,0.660371,3260449413
0.4,11,N,13.024964,0.708561,11333969099
0.4,12,H,13.81297,0.662154,3314142807
0.4,12,N,13.81297,0.691378,11499084527
0.45,1,H,8.43143,0.684883,3208908347
0.45,1,N,8.43143,0.777986,10744240908
