alpha,b,table_type,cost,kernel_time,l1tex__t_sectors_pipe_lsu_mem_global_op_ld.sum
0.1,6,N,4.80007,,
0.1,6,H,4.80007,,
0.1,5,N,4.500257,,
0.1,5,H,4.500257,,
0.1,4,N,5.601241,,
0.1,4,H,5.601241,,
0.15,2,N,6.559229,,
0.15,2,H,6.559229,,
0.1,9,N,5.700001,,
0.1,9,H,5.700001,,
0.1,1,N,12.222214,,
0.1,1,H,12.222214,,
0.15,6,N,5.700923,,
0.15,6,H,5.700923,,
0.2,1,N,7.499991,,
0.2,1,H,7.499991,,
0.15,1,N,9.411757,,
0.15,1,H,9.411757,,
0.2,8,N,5.200827,,
0.2,8,H,5.200827,,
0.1,2,N,7.221695,,
0.1,2,H,7.221695,,
0.1,8,N,5.400004,,
0.1,8,H,5.400004,,
0.2,4,N,5.422171,,
0.2,4,H,5.422171,,
0.45,1,N,5.454522,,
0.45,1,H,5.454522,,
0.15,8,N,4.400088,,
0.15,8,H,4.400088,,
0.3,1,N,5.714278,,
0.3,1,H,5.714278,,
0.3,2,N,5.077442,,
0.3,2,H,5.077442,,
0.2,2,N,5.710269,,
0.2,2,H,5.710269,,
0.15,3,N,5.819987,,
0.15,3,H,5.819987,,
0.15,4,N,4.806076,,
0.15,4,H,4.806076,,
0.15,7,N,4.100234,,
0.15,7,H,4.100234,,
0.1,7,N,5.100016,,
0.1,7,H,5.100016,,
0.25,5,N,4.52321,,
0.25,5,H,4.52321,,
0.25,4,N,4.039444,,
0.25,4,H,4.039444,,
0.4,2,N,6.079997,,
0.4,2,H,6.079997,,
0.25,2,N,4.660243,,
0.25,2,H,4.660243,,
0.25,8,N,6.004365,,
0.25,8,H,6.004365,,
0.45,2,N,4.466584,,
0.45,2,H,4.466584,,
0.15,5,N,5.252392,,
0.15,5,H,5.252392,,
0.25,7,N,5.507703,,
0.25,7,H,5.507703,,
0.2,5,N,4.007358,,
0.2,5,H,4.007358,,
0.45,5,N,6.914618,,
0.45,5,H,6.914618,,
0.25,3,N,5.348629,,
0.25,3,H,5.348629,,
0.2,9,N,5.600391,,
0.2,9,H,5.600391,,
0.35,1,N,6.15383,,
0.35,1,H,6.15383,,
0.3,6,N,5.638114,,
0.3,6,H,5.638114,,
0.45,7,N,8.587,,
0.45,7,H,8.587,,
0.35,8,N,7.646156,,
0.35,8,H,7.646156,,
0.25,1,N,6.66666,,
0.25,1,H,6.66666,,
0.2,6,N,4.403595,,
0.2,6,H,4.403595,,
0.45,6,N,7.746054,,
0.45,6,H,7.746054,,
0.3,4,N,4.486788,,
0.3,4,H,4.486788,,
0.1,3,N,6.505432,,
0.1,3,H,6.505432,,
0.35,3,N,4.325621,,
0.35,3,H,4.325621,,
0.25,6,N,5.013453,,
0.25,6,H,5.013453,,
0.35,6,N,6.289594,,
0.35,6,H,6.289594,,
0.3,9,N,7.410298,,
0.3,9,H,7.410298,,
0.55,3,N,6.581083,,
0.55,3,H,6.581083,,
0.3,7,N,6.224841,,
0.3,7,H,6.224841,,
0.35,7,N,6.964543,,
0.35,7,H,6.964543,,
0.25,9,N,6.502455,,
0.25,9,H,6.502455,,
0.35,9,N,8.332805,,
0.35,9,H,8.332805,,
0.15,9,N,4.700033,,
0.15,9,H,4.700033,,
0.3,8,N,6.816052,,
0.3,8,H,6.816052,,
0.4,1,N,4.999987,,
0.4,1,H,4.999987,,
0.35,4,N,4.967932,,
0.35,4,H,4.967932,,
0.3,5,N,5.057875,,
0.3,5,H,5.057875,,
0.2,7,N,4.801734,,
0.2,7,H,4.801734,,
0.4,6,N,6.98467,,
0.4,6,H,6.98467,,
0.4,9,N,9.285862,,
0.4,9,H,9.285862,,
0.45,8,N,9.436784,,
0.45,8,H,9.436784,,
0.3,3,N,5.892136,,
0.3,3,H,5.892136,,
0.45,3,N,5.278638,,
0.45,3,H,5.278638,,
0.55,7,N,10.611415,,
0.55,7,H,10.611415,,
0.2,3,N,4.843505,,
0.2,3,H,4.843505,,
0.5,7,N,9.52721,,
0.5,7,H,9.52721,,
0.6,1,N,4.999951,,
0.6,1,H,4.999951,,
0.4,5,N,6.235283,,
0.4,5,H,6.235283,,
0.45,4,N,6.092691,,
0.45,4,H,6.092691,,
0.45,9,N,10.294496,,
0.45,9,H,10.294496,,
0.5,3,N,5.871857,,
0.5,3,H,5.871857,,
0.5,2,N,4.955128,,
0.5,2,H,4.955128,,
0.5,6,N,8.604672,,
0.5,6,H,8.604672,,
0.6,2,N,6.275291,,
0.6,2,H,6.275291,,
0.55,4,N,7.593979,,
0.55,4,H,7.593979,,
0.5,9,N,11.395553,,
0.5,9,H,11.395553,,
0.5,8,N,10.457537,,
0.5,8,H,10.457537,,
0.5,5,N,7.689446,,
0.5,5,H,7.689446,,
0.4,4,N,5.497057,,
0.4,4,H,5.497057,,
0.55,5,N,8.599178,,
0.55,5,H,8.599178,,
0.4,3,N,4.770484,,
0.4,3,H,4.770484,,
0.5,1,N,5.999965,,
0.5,1,H,5.999965,,
0.55,2,N,5.545047,,
0.55,2,H,5.545047,,
0.35,2,N,5.545768,,
0.35,2,H,5.545768,,
0.55,9,N,12.642168,,
0.55,9,H,12.642168,,
0.55,1,N,6.666619,,
0.55,1,H,6.666619,,
0.35,5,N,5.623308,,
0.35,5,H,5.623308,,
0.55,8,N,11.623904,,
0.55,8,H,11.623904,,
0.55,6,N,9.603789,,
0.55,6,H,9.603789,,
0.6,6,N,10.806627,,
0.6,6,H,10.806627,,
0.6,9,N,14.1122,,
0.6,9,H,14.1122,,
0.5,4,N,6.779889,,
0.5,4,H,6.779889,,
0.6,7,N,11.907953,,
0.6,7,H,11.907953,,
0.8,5,N,19.145083,,
0.8,5,H,19.145083,,
0.6,8,N,13.009107,,
0.6,8,H,13.009107,,
0.8,8,N,24.588775,,
0.8,8,H,24.588775,,
0.8,9,N,26.30105,,
0.8,9,H,26.30105,,
0.65,1,N,5.714203,,
0.65,1,H,5.714203,,
0.75,7,N,18.525462,,
0.75,7,H,18.525462,,
0.4,7,N,7.743898,,
0.4,7,H,7.743898,,
0.6,4,N,8.587087,,
0.6,4,H,8.587087,,
0.65,5,N,11.086385,,
0.65,5,H,11.086385,,
0.8,6,N,21.024525,,
0.8,6,H,21.024525,,
0.85,8,N,32.147735,,
0.85,8,H,32.147735,,
0.75,9,N,21.504914,,
0.75,9,H,21.504914,,
0.85,9,N,34.251721,,
0.85,9,H,34.251721,,
0.7,5,N,12.901359,,
0.7,5,H,12.901359,,
0.65,7,N,13.521817,,
0.65,7,H,13.521817,,
0.4,8,N,8.511445,,
0.4,8,H,8.511445,,
0.85,4,N,22.808007,,
0.85,4,H,22.808007,,
0.65,9,N,15.924752,,
0.65,9,H,15.924752,,
0.65,4,N,9.840301,,
0.65,4,H,9.840301,,
0.75,8,N,20.027677,,
0.75,8,H,20.027677,,
0.9,5,N,37.667195,,
0.9,5,H,37.667195,,
