alpha,b,table_type,cost,kernel_time,l1tex__t_sectors_pipe_lsu_mem_global_op_ld.sum
0.7,2,N,8.441504,,
0.7,2,H,8.441504,,
0.75,3,N,12.039777,,
0.75,3,H,12.039777,,
0.7,4,N,11.487938,,
0.7,4,H,11.487938,,
0.75,2,N,10.161775,,
0.75,2,H,10.161775,,
0.7,8,N,16.956052,,
0.7,8,H,16.956052,,
0.75,6,N,16.990491,,
0.75,6,H,16.990491,,
0.7,9,N,18.274082,,
0.7,9,H,18.274082,,
0.6,5,N,9.701639,,
0.6,5,H,9.701639,,
0.65,3,N,8.557151,,
0.65,3,H,8.557151,,
0.65,8,N,14.725324,,
0.65,8,H,14.725324,,
0.65,2,N,7.206921,,
0.65,2,H,7.206921,,
0.7,1,N,6.666511,,
0.7,1,H,6.666511,,
0.85,7,N,29.972555,,
0.85,7,H,29.972555,,
0.8,3,N,15.059443,,
0.8,3,H,15.059443,,
0.6,3,N,7.452259,,
0.6,3,H,7.452259,,
0.7,7,N,15.625257,,
0.7,7,H,15.625257,,
0.75,1,N,7.999673,,
0.75,1,H,7.999673,,
0.9,4,N,34.045517,,
0.9,4,H,34.045517,,
0.85,6,N,27.709266,,
0.85,6,H,27.709266,,
0.7,3,N,10.014957,,
0.7,3,H,10.014957,,
0.8,7,N,22.83367,,
0.8,7,H,22.83367,,
0.85,5,N,25.333398,,
0.85,5,H,25.333398,,
0.65,6,N,12.310652,,
0.65,6,H,12.310652,,
0.75,4,N,13.770981,,
0.75,4,H,13.770981,,
0.85,2,N,17.00689,,
0.85,2,H,17.00689,,
0.95,9,N,97.659518,,
0.95,9,H,97.659518,,
0.85,3,N,20.071421,,
0.85,3,H,20.071421,,
0.95,6,N,80.911225,,
0.95,6,H,80.911225,,
0.9,3,N,30.066328,,
0.9,3,H,30.066328,,
0.9,9,N,50.115916,,
0.9,9,H,50.115916,,
0.7,6,N,14.276342,,
0.7,6,H,14.276342,,
0.9,7,N,44.205104,,
0.9,7,H,44.205104,,
0.8,4,N,17.170502,,
0.8,4,H,17.170502,,
0.8,1,N,9.999226,,
0.8,1,H,9.999226,,
0.95,5,N,74.569851,,
0.95,5,H,74.569851,,
0.95,7,N,86.81845,,
0.95,7,H,86.81845,,
0.9,6,N,41.033252,,
0.9,6,H,41.033252,,
0.8,2,N,12.732981,,
0.8,2,H,12.732981,,
0.75,5,N,15.411462,,
0.75,5,H,15.411462,,
0.9,8,N,47.223136,,
0.9,8,H,47.223136,,
0.95,8,N,92.380299,,
0.95,8,H,92.380299,,
0.9,2,N,25.536693,,
0.9,2,H,25.536693,,
0.85,1,N,13.331017,,
0.85,1,H,13.331017,,
0.9,1,N,19.988984,,
0.9,1,H,19.988984,,
0.95,3,N,59.954997,,
0.95,3,H,59.954997,,
0.95,4,N,67.659401,,
0.95,4,H,67.659401,,
0.95,2,N,51.031972,,
0.95,2,H,51.031972,,
0.95,1,N,39.848655,,
0.95,1,H,39.848655,,
1.0,7,N,1000000000.0,,
1.0,7,H,1000000000.0,,
1.0,6,N,1000000000.0,,
1.0,6,H,1000000000.0,,
1.0,9,N,1000000000.0,,
1.0,9,H,1000000000.0,,
1.0,8,N,1000000000.0,,
1.0,8,H,1000000000.0,,
1.0,5,N,1000000000.0,,
1.0,5,H,1000000000.0,,
1.0,4,N,1000000000.0,,
1.0,4,H,1000000000.0,,
1.0,3,N,1000000000.0,,
1.0,3,H,1000000000.0,,
1.0,2,N,1000000000.0,,
1.0,2,H,1000000000.0,,
1.0,1,N,1000000000.0,,
1.0,1,H,1000000000.0,,
