alpha,b,table_type,cost,kernel_time,l1tex__t_sectors_pipe_lsu_mem_global_op_ld.sum
0.1,1,H,14.397167,0.605737,1146003487
0.1,1,N,14.397167,0.625107,3142970917
0.1,2,H,9.396631,0.581014,1084486730
0.1,2,N,9.396631,0.550568,2982309036
0.1,3,H,8.680371,0.593511,1042408655
0.1,3,N,8.680371,0.580017,2922936404
0.1,4,H,7.776184,0.578584,1020067479
0.1,4,N,7.776184,0.581837,2905256306
0.1,5,H,6.675202,0.570162,1008075432
0.1,5,N,6.675202,0.555741,2909976234
0.1,6,H,6.975015,0.594756,1002520960
0.1,6,N,6.975015,0.589948,2906415423
0.1,7,H,7.274964,0.601722,999517364
0.1,7,N,7.274964,0.610938,2915811950
0.1,8,H,7.574951,0.580586,997871626
0.1,8,N,7.574951,0.591935,2934277561
0.1,9,H,7.874947,0.605264,998481685
0.1,9,N,7.874947,0.566053,2951385304
0.1,10,H,6.174946,0.584395,999004167
0.1,10,N,6.174946,0.562222,2980373218
0.1,11,H,6.374946,0.603902,1001751024
0.1,11,N,6.374946,0.553897,2998317917
0.1,12,H,6.574946,0.568856,1005145026
0.1,12,N,6.574946,0.575444,3020011184
0.15,1,H,9.78641,0.595665,1113949463
0.15,1,N,9.78641,0.576059,3076359431
0.15,2,H,6.933853,0.588667,1049194736
0.15,2,N,6.933853,0.565271,2933460008
0.15,3,H,6.194612,0.564143,1014902839
0.15,3,N,6.194612,0.575034,2904855728
0.15,4,H,5.180709,0.542728,1002854872
0.15,4,N,5.180709,0.54321,2907186105
0.15,5,H,5.627031,0.591979,997891997
0.15,5,N,5.627031,0.597946,2929593075
0.15,6,H,6.075565,0.586113,998384335
0.15,6,N,6.075565,0.584747,2951315691
0.15,7,H,4.47488,0.539778,1000822509
0.15,7,N,4.47488,0.537611,2988923972
0.15,8,H,4.774735,0.55965,1005160354
0.15,8,N,4.774735,0.558787,3020084593
0.15,9,H,5.07468,0.587204,1009861982
0.15,9,N,5.07468,0.608765,3052753936
0.15,10,H,5.37466,0.576563,1014408375
0.15,10,N,5.37466,0.557291,3088317787
0.15,11,H,5.674652,0.576397,1021855027
0.15,11,N,5.674652,0.584546,3113946243
0.15,12,H,5.974649,0.597266,1027446668
0.15,12,N,5.974649,0.562761,3137413800
0.2,1,H,7.499996,0.580837,1124793280
0.2,1,N,7.499996,0.560913,3067234688
0.2,2,H,5.710228,0.573995,1031025436
0.2,2,N,5.710228,0.591213,2933915872
0.2,3,H,4.843457,0.598637,1006419171
